Date,Market,Size,Value,Momentum,Quality,Low volatility
2015-01-02,,,,,,
2015-01-05,-0.018059534759753082,0.004690198885945129,-0.0007552374736420342,0.0051088314116573,0.0029561552457477713,0.008678990165023048
2015-01-06,-0.009418828811330271,-0.007881279281353404,-0.0001914136872052108,0.0009202128404517396,0.0007734032180354289,0.0066781208604371756
2015-01-07,0.012460597817671282,-0.0001456005664106641,-0.0022425492772646383,0.004081023852984478,-0.001106441922983814,0.00028269744856346257
2015-01-08,0.017745179474756734,-0.000783496140046358,-0.0006283057864002739,0.0026686604438159733,0.0009659889584938686,-0.002941363759098481
2015-01-09,-0.008013652124545079,-0.0015895230288036633,-0.0015783628121821547,0.002794418269328358,-0.0006110433205680499,0.002178645635161347
2015-01-12,-0.007833562438550157,0.004516444154390009,0.0009229513115290855,0.0020049194112077284,-0.0003829565485611308,0.0034313918743082983
2015-01-13,-0.0028125364340330083,0.003580427719535484,-0.0018515656597501984,-0.0005590839032824091,5.0688362115969277e-05,0.0018296937257692436
2015-01-14,-0.006037215310099375,0.0020297992890824235,-0.0023783283748508577,0.0026547015529108098,0.002128207934617876,0.00259515534055621
2015-01-15,-0.0091608119432679,-0.007705858728504156,0.001879889559617376,0.002519549896994988,-0.00016042872994637136,0.007680930017766707
2015-01-16,0.013114479902101905,0.0031704885910579517,-0.0006415442492644363,-0.0009321905605559344,0.0004212641955256835,-0.0022428251027428736
2015-01-20,0.002132303797862667,-0.006331184414823721,-0.004907860990528978,0.003298422596579531,0.0024277913419359365,-0.000421313074027152
2015-01-21,0.005048257812119372,-0.008232188415757236,0.0012153429509766944,-0.0011064824186146627,-0.0031025410022036404,-0.0033398448147119453
2015-01-22,0.014871312439918682,0.005501723959840055,0.00011967229798948154,0.0022873891180832384,0.001147831728940396,-0.00025525456629060805
2015-01-23,-0.005483405612742187,0.004806509545783877,-0.005248425310611982,0.0034815280463702525,0.0032536155512782328,0.0002012396929171878
2015-01-26,0.002342246680420379,0.007308969654956643,0.0003169418235178245,-0.0013391440301027124,-0.0005862813378778586,-0.00016973601082637124
2015-01-27,-0.013190554792386067,0.008411297011549745,0.0033276940829061186,0.00045457366220647,-0.0035398554148022843,0.005965307304974354
2015-01-28,-0.012824094372651307,-0.0040266529875838675,-0.008420711580269802,0.00137312889556096,0.0034253813722033843,0.001421548822508334
2015-01-29,0.0092434222094111,0.00455377867613227,-0.002969118464315912,0.00028713319577788887,0.00040813440917153443,-0.004089602147592908
2015-01-30,-0.012574849477957062,-0.009403133868109426,-0.0026291548297351364,-0.005725915503895007,0.0036635359246720567,-0.004027008548579625
2015-02-02,0.012383872254246642,-0.0032223126568835525,0.0037777324353243102,-0.004986365286255845,-0.003392433167968445,-0.0036947644352069986
2015-02-03,0.014460891361120831,0.00343927684277312,0.0033164570492631995,-0.004914487494805275,0.0006069008850093649,-0.0033850364466485594
2015-02-04,-0.003807743021039145,0.00010547403277405554,-0.0014641703621330882,0.0022075730869995924,-0.003374879034356071,0.0013731113397595918
2015-02-05,0.010095235612227471,0.0028262278179356226,0.00017048183566648056,0.0008329678357350545,0.0021234304058861397,-0.00033443526682153113
2015-02-06,-0.0027653664204609907,0.001681165084213787,0.001129832214529447,-0.006891769113279489,-0.0039056542421099794,-0.005934379942685197
